Id,Label,timeset,latitude,longitude,colabs_total,modularity_class
1294671590,French National Centre for Scientific Research,,48.85341,2.3488,942111,2
136199984,Harvard University,,42.3751,-71.10561,430445,0
39804081,Sorbonne Université,,48.85341,2.3488,320553,2
154526488,Inserm,,48.85341,2.3488,255681,2
45129253,University College London,,51.50853,-0.12574,244122,2
1283280774,Brigham and Women's Hospital,,42.35843,-71.05977,240984,2
97018004,Stanford University,,37.42411,-122.16608,231091,1
27837315,University of Michigan–Ann Arbor,,42.27756,-83.74088,217096,2
19820366,Chinese Academy of Sciences,,39.9075,116.39723,215443,0
204730241,Université Paris Cité,,48.85341,2.3488,211175,2
79576946,University of Pennsylvania,,39.952457,-75.19322,200525,0
40120149,University of Oxford,,51.75222,-1.25596,199668,2
201448701,University of Washington,,47.60621,-122.33207,186826,2
145311948,Johns Hopkins University,,39.29038,-76.61219,177438,2
78577930,Columbia University,,40.71427,-74.00597,173151,0
47508984,Imperial College London,,51.50853,-0.12574,171618,2
95457486,"University of California, Berkeley",,37.87159,-122.27275,171270,1
8204097,Ludwig-Maximilians-Universität München,,48.13743,11.57549,169145,2
32971472,Yale University,,41.30815,-72.92816,169026,2
36258959,"University of California, San Diego",,32.71571,-117.16472,165591,2
185261750,University of Toronto,,43.70011,-79.4163,165143,2
241749,University of Cambridge,,52.2,0.11667,163064,0
28166907,Karolinska Institutet,,59.32938,18.06871,158923,2
1299303238,National Institutes of Health,,38.98067,-77.10026,157167,2
5023651,McGill University,,45.50884,-73.58781,153904,2
7877124,Charité - Universitätsmedizin Berlin,,52.52437,13.41053,149069,2
52357470,The Ohio State University,,39.96118,-82.99879,145923,2
9360294,University of Bologna,,44.49381,11.33875,143210,0
74801974,The University of Tokyo,,35.6895,139.69171,142307,0
63966007,Massachusetts Institute of Technology,,42.3751,-71.10561,140049,0
161318765,"University of California, Los Angeles",,34.05223,-118.24368,136671,2
205783295,Cornell University,,42.44063,-76.49661,134935,2
27804330,Brown University,,41.8262,-71.4032,128967,2
56590836,Monash University,,-37.814,144.96332,127192,2
40347166,University of Chicago,,41.85003,-87.65005,124681,2
180670191,"University of California, San Francisco",,37.77493,-122.41942,122065,2
165779595,University of Melbourne,,-37.814,144.96332,119899,2
223822909,Heidelberg University,,49.40768,8.69079,118977,2
33213144,University of Florida,,29.65163,-82.32483,118256,2
